Symbol,Symbol - Name
A,A - Agilent Technologies Inc. Common Stock
AA,AA - Alcoa Corporation Common Stock 
AAC,AAC - Ares Acquisition Corporation Class A Ordinary Shares
AACG,AACG - ATA Creativity Global American Depositary Shares
AACI,AACI - Armada Acquisition Corp. I Common Stock
AACIU,AACIU - Armada Acquisition Corp. I Unit
AADI,AADI - Aadi Bioscience Inc. Common Stock
AAIC,AAIC - Arlington Asset Investment Corp Class A (new)
AAIN,AAIN - Arlington Asset Investment Corp 6.000% Senior Notes Due 2026
AAL,AAL - American Airlines Group Inc. Common Stock
AAMC,AAMC - Altisource Asset Management Corp Com
AAME,AAME - Atlantic American Corporation Common Stock
AAN,AAN - Aarons Holdings Company Inc. Common Stock 
AAOI,AAOI - Applied Optoelectronics Inc. Common Stock
AAON,AAON - AAON Inc. Common Stock
AAP,AAP - Advance Auto Parts Inc.
AAPL,AAPL - Apple Inc. Common Stock
AAQC,AAQC - Accelerate Acquisition Corp. Class A Common Stock
AAT,AAT - American Assets Trust Inc. Common Stock
AATC,AATC - Autoscope Technologies Corporation Common Stock
AAU,AAU - Almaden Minerals Ltd. Common Shares
AAWW,AAWW - Atlas Air Worldwide Holdings NEW Common Stock
AB,AB - AllianceBernstein Holding L.P.  Units
ABB,ABB - ABB Ltd Common Stock
ABBV,ABBV - AbbVie Inc. Common Stock
ABC,ABC - AmerisourceBergen Corporation Common Stock
ABCB,ABCB - Ameris Bancorp Common Stock
ABCL,ABCL - AbCellera Biologics Inc. Common Shares
ABCM,ABCM - Abcam plc American Depositary Shares
ABEO,ABEO - Abeona Therapeutics Inc. Common Stock
ABEV,ABEV - Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,ABG - Asbury Automotive Group Inc Common Stock
ABGI,ABGI - ABG Acquisition Corp. I Class A Ordinary Shares
ABIO,ABIO - ARCA biopharma Inc. Common Stock
ABM,ABM - ABM Industries Incorporated Common Stock
ABMD,ABMD - ABIOMED Inc. Common Stock
ABNB,ABNB - Airbnb Inc. Class A Common Stock
ABOS,ABOS - Acumen Pharmaceuticals Inc. Common Stock
ABR,ABR - Arbor Realty Trust Common Stock
ABSI,ABSI - Absci Corporation Common Stock
ABST,ABST - Absolute Software Corporation Common Stock
ABT,ABT - Abbott Laboratories Common Stock
ABTX,ABTX - Allegiance Bancshares Inc. Common Stock
ABUS,ABUS - Arbutus Biopharma Corporation Common Stock
ABVC,ABVC - ABVC BioPharma Inc. Common Stock
AC,AC - Associated Capital Group Inc. Common Stock
ACA,ACA - Arcosa Inc. Common Stock 
ACAD,ACAD - ACADIA Pharmaceuticals Inc. Common Stock
ACAH,ACAH - Atlantic Coastal Acquisition Corp. Class A Common Stock
ACAHU,ACAHU - Atlantic Coastal Acquisition Corp. Unit
ACB,ACB - Aurora Cannabis Inc. Common Shares
ACBA,ACBA - Ace Global Business Acquisition Limited Ordinary Shares
ACBAU,ACBAU - Ace Global Business Acquisition Limited Unit
ACBI,ACBI - Atlantic Capital Bancshares Inc. Common Stock
ACC,ACC - American Campus Communities Inc Common Stock
ACCD,ACCD - Accolade Inc. Common Stock
ACCO,ACCO - Acco Brands Corporation Common Stock
ACEL,ACEL - Accel Entertainment Inc. 
ACER,ACER - Acer Therapeutics Inc. Common Stock (DE)
ACET,ACET - Adicet Bio Inc. Common Stock 
ACEV,ACEV - ACE Convergence Acquisition Corp. Class A Ordinary Shares
ACEVU,ACEVU - ACE Convergence Acquisition Corp. Unit
ACGL,ACGL - Arch Capital Group Ltd. Common Stock
ACGLN,ACGLN - Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G
ACGLO,ACGLO - Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F
ACH,ACH - Aluminum Corporation of China Limited American Depositary Shares
ACHC,ACHC - Acadia Healthcare Company Inc. Common Stock
ACHL,ACHL - Achilles Therapeutics plc American Depositary Shares
ACHR,ACHR - Archer Aviation Inc. Class A Common Stock
ACHV,ACHV - Achieve Life Sciences Inc. Common Shares
ACI,ACI - Albertsons Companies Inc. Class A Common Stock
ACII,ACII - Atlas Crest Investment Corp. II Class A Common Stock
ACIU,ACIU - AC Immune SA Common Stock
ACIW,ACIW - ACI Worldwide Inc. Common Stock
ACKIT,ACKIT - Ackrell SPAC Partners I Co. Subunits
ACKIU,ACKIU - Ackrell SPAC Partners I Co. Units
ACLS,ACLS - Axcelis Technologies Inc. Common Stock
ACM,ACM - AECOM Common Stock
ACMR,ACMR - ACM Research Inc. Class A Common Stock
ACN,ACN - Accenture plc Class A Ordinary Shares (Ireland)
ACNB,ACNB - ACNB Corporation Common Stock
ACOR,ACOR - Acorda Therapeutics Inc. Common Stock
ACP,ACP - Aberdeen Income Credit Strategies Fund Common Shares
ACQR,ACQR - Independence Holdings Corp. Class A Ordinary Share
ACQRU,ACQRU - Independence Holdings Corp. Units
ACR,ACR - ACRES Commercial Realty Corp. Common Stock
ACRE,ACRE - Ares Commercial Real Estate Corporation Common Stock
ACRO,ACRO - Acropolis Infrastructure Acquisition Corp. Class A Common Stock
ACRS,ACRS - Aclaris Therapeutics Inc. Common Stock
ACRX,ACRX - AcelRx Pharmaceuticals Inc. Common Stock
ACST,ACST - Acasti Pharma Inc. Class A Common Stock
ACT,ACT - Enact Holdings Inc. Common Stock
ACTD,ACTD - ArcLight Clean Transition Corp. II Class A Ordinary Share
ACTDU,ACTDU - ArcLight Clean Transition Corp. II Unit
ACTG,ACTG - Acacia Research Corporation (Acacia Tech) Common Stock
ACU,ACU - Acme United Corporation. Common Stock
ACV,ACV - Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ACVA,ACVA - ACV Auctions Inc. Class A Common Stock
ACXP,ACXP - Acurx Pharmaceuticals Inc. Common Stock
ACY,ACY - AeroCentury Corp. Common Stock
ADAG,ADAG - Adagene Inc. American Depositary Shares
ADALU,ADALU - Anthemis Digital Acquisitions I Corp Unit
ADAP,ADAP - Adaptimmune Therapeutics plc American Depositary Shares
ADBE,ADBE - Adobe Inc. Common Stock
ADC,ADC - Agree Realty Corporation Common Stock
ADCT,ADCT - ADC Therapeutics SA Common Shares
ADER,ADER - 26 Capital Acquisition Corp. Class A Common Stock
ADES,ADES - Advanced Emissions Solutions Inc. Common Stock
ADEX,ADEX - Adit EdTech Acquisition Corp. Common Stock
ADF,ADF - Aldel Financial Inc. Class A Common Stock
ADGI,ADGI - Adagio Therapeutics Inc. Common Stock
ADI,ADI - Analog Devices Inc. Common Stock
ADIL,ADIL - Adial Pharmaceuticals Inc Common Stock
ADM,ADM - Archer-Daniels-Midland Company Common Stock
ADMA,ADMA - ADMA Biologics Inc Common Stock
ADMP,ADMP - Adamis Pharmaceuticals Corporation Common Stock
ADN,ADN - Advent Technologies Holdings Inc. Class A Common Stock
ADNT,ADNT - Adient plc Ordinary Shares 
ADOC,ADOC - Edoc Acquisition Corp. Class A Ordinary Share
ADP,ADP - Automatic Data Processing Inc. Common Stock
ADPT,ADPT - Adaptive Biotechnologies Corporation Common Stock
ADRA,ADRA - Adara Acquisition Corp. Class A Common Stock
ADS,ADS - Alliance Data Systems Corporation Common Stock
ADSK,ADSK - Autodesk Inc. Common Stock
ADT,ADT - ADT Inc. Common Stock
ADTN,ADTN - ADTRAN Inc. Common Stock
ADTX,ADTX - Aditxt Inc. Common Stock
ADUS,ADUS - Addus HomeCare Corporation Common Stock
ADV,ADV - Advantage Solutions Inc. Class A Common Stock
ADVM,ADVM - Adverum Biotechnologies Inc. Common Stock
ADX,ADX - Adams Diversified Equity Fund Inc.
ADXN,ADXN - Addex Therapeutics Ltd American Depositary Shares
ADXS,ADXS - Advaxis Inc. Common Stock
AE,AE - Adams Resources & Energy Inc. Common Stock
AEAC,AEAC - Authentic Equity Acquisition Corp. Class A ordinary share
AEACU,AEACU - Authentic Equity Acquisition Corp. Unit
AEAEU,AEAEU - AltEnergy Acquisition Corp. Unit
AEE,AEE - Ameren Corporation Common Stock
AEF,AEF - Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock
AEFC,AEFC - Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,AEG - AEGON N.V. Common Stock
AEHA,AEHA - Aesther Healthcare Acquisition Corp Class A Common Stock
AEHL,AEHL - Antelope Enterprise Holdings Limited Common Stock (0.024 par)
AEHR,AEHR - Aehr Test Systems Common Stock
AEI,AEI - Alset EHome International Inc. Common Stock
AEIS,AEIS - Advanced Energy Industries Inc. Common Stock
AEL,AEL - American Equity Investment Life Holding Company Common Stock
AEM,AEM - Agnico Eagle Mines Limited Common Stock
AEMD,AEMD - Aethlon Medical Inc. Common Stock
AENZ,AENZ - Aenza S.A.A. American Depositary Shares
AEO,AEO - American Eagle Outfitters Inc. Common Stock
AEP,AEP - American Electric Power Company Inc. Common Stock
AEPPL,AEPPL - American Electric Power Company Inc. Corporate Unit
AEPPZ,AEPPZ - American Electric Power Company Inc. Corporate Units
AER,AER - AerCap Holdings N.V. Ordinary Shares
AERI,AERI - Aerie Pharmaceuticals Inc. Common Stock
AES,AES - The AES Corporation Common Stock
AESC,AESC - The AES Corporation Corporate Units
AESE,AESE - Allied Esports Entertainment Inc. Common Stock
AEVA,AEVA - Aeva Technologies Inc. Common Stock
AEY,AEY - ADDvantage Technologies Group Inc. Common Stock
